n,date,time,hungry,juggling,pups
1,25/07/2018,1229,F,N,Y
2,25/07/2018,1233,F,N,N
3,25/07/2018,1236,F,N,N
4,25/07/2018,1240,F,N,N
5,25/07/2018,1244,F,N,N
6,25/07/2018,1247,F,N,N
7,25/07/2018,1253,F,Y,N
8,25/07/2018,1257,F,Y,N
9,25/07/2018,1300,F,N,N
10,25/07/2018,1304,F,N,N
11,25/07/2018,1308,F,N,NA
12,25/07/2018,1347,F,N,N
13,25/07/2018,1352,F,N,N
14,25/07/2018,1355,F,N,N
15,25/07/2018,1400,F,N,NA
16,25/07/2018,1405,H,N,NA
17,25/07/2018,1409,H,N,N
18,25/07/2018,1423,H,N,N
19,25/07/2018,1427,H,N,N
20,25/07/2018,1430,H,N,N
21,25/07/2018,1434,H,N,Y
22,25/07/2018,1438,H,N,N
23,25/07/2018,1441,H,N,Y
24,25/07/2018,1445,H,N,Y
25,25/07/2018,1448,H,N,Y
26,25/07/2018,1451,H,N,Y
27,25/07/2018,1455,H,Y,N
28,25/07/2018,1502,H,Y,N
29,25/07/2018,1522,H,N,N
30,25/07/2018,1526,H,N,Y
31,25/07/2018,1533,H,N,N
32,25/07/2018,1541,H,N,Y
33,25/07/2018,1553,H,N,N
34,25/07/2018,1642,F,N,Y
35,25/07/2018,1646,F,N,Y
36,25/07/2018,1649,F,N,Y
37,25/07/2018,1653,F,N,Y
38,25/07/2018,1656,F,N,Y
39,25/07/2018,1700,F,N,N
40,25/07/2018,1735,F,N,Y
41,25/07/2018,1750,F,Y,N
42,25/07/2018,1753,F,Y,N
43,25/07/2018,1908,H,Y,N
44,25/07/2018,1922,H,N,N
45,25/07/2018,1928,H,N,N
46,25/07/2018,1934,H,N,N
47,25/07/2018,1958,H,N,NA
48,25/07/2018,2013,H,N,N
49,25/07/2018,2017,H,Y,N
50,25/07/2018,2020,H,N,N
51,25/07/2018,2024,H,N,N
52,25/07/2018,2036,H,N,N
53,25/07/2018,2101,H,N,NA
54,25/07/2018,2109,H,N,N
55,25/07/2018,2119,H,N,N
56,25/07/2018,2125,H,N,Y
57,25/07/2018,2129,H,N,Y
58,25/07/2018,2141,H,N,Y
59,25/07/2018,2142,H,N,Y
60,25/07/2018,2150,H,N,Y
61,25/07/2018,2151,H,N,Y
62,25/07/2018,2154,H,N,N
63,25/07/2018,2208,H,N,NA
64,25/07/2018,2245,H,N,NA
65,25/07/2018,2256,H,N,Y
66,25/07/2018,2305,H,N,NA
67,25/07/2018,2309,H,N,NA
68,25/07/2018,2320,H,N,NA
69,25/07/2018,2324,H,N,N
70,25/07/2018,2330,H,N,N
71,25/07/2018,2334,H,N,N
72,25/07/2018,2355,H,N,N
73,25/07/2018,1215,F,N,N
74,25/07/2018,1222,F,N,N
75,26/07/2018,605,H,N,N
76,26/07/2018,25,H,N,N
77,26/07/2018,46,H,N,N
78,26/07/2018,102,H,N,Y
79,26/07/2018,112,H,N,N
80,26/07/2018,149,H,N,N
81,26/07/2018,211,H,N,N
82,26/07/2018,222,H,N,N
83,26/07/2018,250,H,N,NA
84,26/07/2018,401,H,N,NA
85,26/07/2018,415,H,N,N
86,26/07/2018,529,H,N,Y
87,26/07/2018,609,H,N,Y
88,26/07/2018,638,H,N,N
89,26/07/2018,642,H,N,N
90,26/07/2018,645,H,N,N
91,26/07/2018,649,H,Y,N
92,26/07/2018,653,H,Y,N
93,26/07/2018,656,H,N,N
94,26/07/2018,659,H,N,NA
95,26/07/2018,703,H,N,N
96,26/07/2018,837,H,N,N
97,26/07/2018,840,H,N,N
98,26/07/2018,849,H,N,N
99,26/07/2018,921,F,N,N
100,26/07/2018,925,F,N,N
101,26/07/2018,928,F,N,N
102,26/07/2018,932,F,N,N
103,26/07/2018,935,F,N,N
104,26/07/2018,939,F,N,Y
105,26/07/2018,945,F,N,Y
106,26/07/2018,949,F,N,N
107,26/07/2018,952,F,N,Y
108,26/07/2018,956,F,N,Y
109,26/07/2018,959,F,N,Y
110,26/07/2018,1003,F,N,Y
111,26/07/2018,1006,F,N,N
112,26/07/2018,1010,F,N,Y
113,26/07/2018,1014,F,N,N
114,26/07/2018,1017,F,N,Y
