site,species,group.ID,ID,age,sex,hungry,rj,total.obs,rj.front,rj.back,rj.roll,rj.wall,rj.sent
Tamar,ASC,T2,Pippin,6,M,H,2,133,2,0,0,0,0
Tamar,ASC,T2,Squeak,5,M,H,7,136,3,0,0,4,0
Tamar,ASC,T3,Maisy,8,F,H,5,141,3,0,0,1,1
Tamar,ASC,T3,Thai,7,M,H,0,141,0,0,0,0,0
Tamar,ASC,T3,Suki,3,F,H,0,141,0,0,0,0,0
Tamar,ASC,T1,Leah,11,F,H,0,151,0,0,0,0,0
Tamar,ASC,T1,Feet,9,M,H,1,151,1,0,0,0,0
Tamar,ASC,T1,DF,6,F,H,1,126,1,0,0,0,0
Tamar,ASC,T1,Tom,6,M,H,0,151,0,0,0,0,0
Tamar,ASC,T1,SMDF,2,F,H,0,126,0,0,0,0,0
Tamar,ASC,T1,Tom.2,4,M,H,0,126,0,0,0,0,0
Tamar,ASC,T1,Elf,1,F,H,5,126,3,0,0,0,2
Tamar,ASC,T1,Bear,2,M,H,17,126,0,12,0,4,1
Tamar,ASC,T1,H.Moon,2,F,H,2,126,1,0,0,1,0
Tamar,ASC,T1,M,1,M,H,2,151,2,0,0,0,0
Tamar,ASC,T1,L.Nose,4,F,H,16,126,5,3,0,8,0
Tamar,ASC,T1,Pinkie,2,M,H,3,151,1,0,0,2,0
Tamar,ASC,T1,PupA,0.5,F,H,30,151,26,0,0,4,0
Tamar,ASC,T1,PupB,0.5,M,H,34,151,28,1,0,5,0
Tamar,ASC,T1,PupC,0.5,F,H,29,151,25,0,0,4,0
NQ,ASC,NQ1,Jam,8,F,H,9,186,8,0,0,1,0
NQ,ASC,NQ1,Tope,9,M,H,1,181,0,0,1,0,0
NQ,ASC,NQ1,Dot,1,F,H,13,184,8,0,0,5,0
NQ,ASC,NQ1,Pod,6,F,H,2,193,2,0,0,0,0
NQ,ASC,NQ1,Meg,2,F,H,4,195,2,0,0,1,1
NQ,ASC,NQ1,Rosie,1,F,H,9,186,6,0,0,3,0
NQ,ASC,NQ1,Midge,1,F,H,9,193,3,3,1,2,0
NQ,ASC,NQ1,Pup1,0.67,F,H,21,178,14,0,0,6,1
NQ,ASC,NQ1,Pup3,0.67,F,H,12,187,11,0,0,1,0
NQ,ASC,NQ1,Pup4,0.67,M,H,13,177,4,0,2,7,0
NQ,ASC,NQ1,Pup5,0.67,F,H,11,177,6,0,0,5,0
NF,ASC,NF1,Fizzy,19,M,H,9,127,4,4,0,1,0
NF,ASC,NF1,Feather,18,F,H,15,127,7,8,0,0,0
NF,ASC,NF1,Taurus,13,M,H,17,127,9,7,0,1,0
NF,ASC,NF1,Sapphire,14,F,H,19,127,8,7,4,0,0
NF,ASC,NF2,Flint,14,M,H,3,102,2,1,0,0,0
NF,ASC,NF2,Magma,12,M,H,4,102,3,1,0,0,0
NF,ASC,NF2,Fossil,12,M,H,0,102,0,0,0,0,0
NF,ASC,NF2,Moon,13,F,H,11,102,1,9,1,0,0
NF,ASC,NF3,Diamond,14,F,H,12,129,3,8,1,0,0
