site,species,group.ID,ID,age,sex,rj.total,total.obs,puzzle.type,puzzle.order,solve,latency,interaction,total.time
Tamar,ASC,T1,Bear,2,M,21,252,ball,third,1,1,48,50
Tamar,ASC,T1,Bear,2,M,21,252,bottle,second,1,2,20,22
Tamar,ASC,T1,Bear,2,M,21,252,brick,first,NA,NA,NA,NA
Tamar,ASC,T2,Bubble,5,M,59,248,brick,first,0,1,511,1200
Tamar,ASC,T2,Bubble,5,M,59,248,ball,second,1,0,13,16
Tamar,ASC,T2,Bubble,5,M,59,248,bottle,third,1,0,13,14
NF,SCO,NF5,Cub1,0.25,F,7,231,brick,third,0,3,191,1200
NF,SCO,NF5,Cub1,0.25,F,7,231,ball,first,1,90,819,931
NF,SCO,NF5,Cub1,0.25,F,7,231,bottle,second,1,1,36,109
NF,SCO,NF5,Cub2,0.25,M,6,231,ball,first,0,25,576,1200
NF,SCO,NF5,Cub2,0.25,M,6,231,brick,third,0,2,266,1200
NF,SCO,NF5,Cub2,0.25,M,6,231,bottle,second,NA,0,NA,NA
NF,ASC,NF1,Daley,6,M,2,252,ball,third,0,4,9,1200
NF,ASC,NF1,Daley,6,M,2,252,bottle,first,1,2,39,43
NF,ASC,NF1,Daley,6,M,2,252,brick,second,1,0,67,68
Tamar,ASC,T1,DF,6,F,2,252,ball,third,1,1,13,15
Tamar,ASC,T1,DF,6,F,2,252,bottle,second,NA,NA,NA,NA
Tamar,ASC,T1,DF,6,F,2,252,brick,first,NA,NA,NA,NA
NF,ASC,NF3,Diamond,14,F,15,252,bottle,second,0,1,43,1200
NF,ASC,NF3,Diamond,14,F,15,252,brick,third,1,1,18,20
NF,ASC,NF3,Diamond,14,F,15,252,ball,first,NA,NA,NA,NA
NQ,ASC,NQ1,Dot,1,F,18,246,bottle,third,1,0,17,20
NQ,ASC,NQ1,Dot,1,F,18,246,brick,first,1,5,48,72
NQ,ASC,NQ1,Dot,1,F,18,246,ball,second,NA,NA,NA,NA
Tamar,ASC,T1,Elf,1,F,5,252,ball,third,NA,NA,NA,NA
Tamar,ASC,T1,Elf,1,F,5,252,bottle,second,NA,NA,NA,NA
Tamar,ASC,T1,Elf,1,F,5,252,brick,first,NA,NA,NA,NA
