site,species,group.ID,ID,age,agecat,sex,rj.total,total.obs,rj.front,rj.back,rj.roll,rj.wall,rj.sent
Tamar,ASC,T2,Pippin,6,YOUNG,M,5,247,3,0,0,2,0
Tamar,ASC,T2,Bubble,5,YOUNG,M,59,248,0,0,0,59,0
Tamar,ASC,T2,Squeak,5,YOUNG,M,8,250,3,0,0,4,1
Tamar,ASC,T3,Maisy,8,YOUNG,F,5,252,3,0,0,1,1
Tamar,ASC,T3,Thai,7,YOUNG,M,0,252,0,0,0,0,0
Tamar,ASC,T3,Suki,3,YOUNG,F,1,252,0,0,0,1,0
Tamar,ASC,T1,Leah,11,YOUNG,F,0,252,0,0,0,0,0
Tamar,ASC,T1,Feet,9,YOUNG,M,2,252,2,0,0,0,0
Tamar,ASC,T1,DF,6,YOUNG,F,2,252,1,0,0,1,0
Tamar,ASC,T1,Tom,6,YOUNG,M,0,252,0,0,0,0,0
Tamar,ASC,T1,SMDF,2,YOUNG,F,1,252,0,1,0,0,0
Tamar,ASC,T1,Tom.2,4,YOUNG,M,2,252,1,0,0,1,0
Tamar,ASC,T1,Elf,1,YOUNG,F,5,252,3,0,0,0,2
Tamar,ASC,T1,Bear,2,YOUNG,M,21,252,0,16,0,4,1
Tamar,ASC,T1,H.Moon,2,YOUNG,F,4,252,1,2,0,1,0
Tamar,ASC,T1,M,1,YOUNG,M,2,252,2,0,0,0,0
Tamar,ASC,T1,L.Nose,4,YOUNG,F,17,252,5,4,0,8,0
Tamar,ASC,T1,Pinkie,2,YOUNG,M,5,251,3,0,0,2,0
Tamar,ASC,T1,PupA,0.5,YOUNG,F,49,251,44,0,0,5,0
Tamar,ASC,T1,PupB,0.5,YOUNG,M,53,251,39,1,0,13,0
Tamar,ASC,T1,PupC,0.5,YOUNG,F,50,251,40,0,0,10,0
NQ,ASC,NQ1,Jam,8,YOUNG,F,9,251,8,0,0,1,0
NQ,ASC,NQ1,Tope,9,YOUNG,M,1,250,0,0,1,0,0
NQ,ASC,NQ1,Dot,1,YOUNG,F,18,246,12,0,0,6,0
NQ,ASC,NQ1,Pod,6,YOUNG,F,8,246,6,0,0,2,0
NQ,ASC,NQ1,Meg,2,YOUNG,F,4,248,2,0,0,1,1
NQ,ASC,NQ1,Rosie,1,YOUNG,F,12,251,8,0,0,4,0
NQ,ASC,NQ1,Midge,1,YOUNG,F,9,246,3,3,1,2,0
NQ,ASC,NQ1,Murphy,1,YOUNG,M,6,200,4,0,0,2,0
NQ,ASC,NQ1,Pup1,0.67,YOUNG,F,21,252,14,0,0,6,1
NQ,ASC,NQ1,Pup3,0.67,YOUNG,F,12,244,11,0,0,1,0
NQ,ASC,NQ1,Pup4,0.67,YOUNG,M,14,244,4,0,3,7,0
NQ,ASC,NQ1,Pup5,0.67,YOUNG,F,11,244,6,0,0,5,0
NF,ASC,NF1,Fizzy,19,OLD,M,25,252,7,17,0,1,0
NF,ASC,NF1,Feather,18,OLD,F,45,252,20,25,0,0,0
NF,ASC,NF1,Taurus,13,OLD,M,38,252,18,14,5,1,0
NF,ASC,NF1,Sapphire,14,OLD,F,50,252,16,27,7,0,0
NF,ASC,NF2,Flint,14,OLD,M,4,252,2,2,0,0,0
NF,ASC,NF2,Magma,12,OLD,M,8,252,3,5,0,0,0
NF,ASC,NF2,Fossil,12,OLD,M,0,252,0,0,0,0,0
NF,ASC,NF2,Moon,13,OLD,F,21,252,2,18,1,0,0
NF,ASC,NF3,Diamond,14,OLD,F,15,252,5,9,1,0,0
NF,ASC,NF3,Daley,6,YOUNG,M,2,252,0,0,2,0,0
NF,ASC,NF4,Pickwick,15,OLD,M,18,252,2,16,0,0,0
NF,SCO,NF6,Srey,4,YOUNG,F,2,231,2,0,0,0,0
NF,SCO,NF6,Sereen,1,YOUNG,F,18,231,7,3,2,0,6
NF,SCO,NF5,Soriah,4,YOUNG,F,2,231,0,0,2,0,0
NF,SCO,NF5,Song,5,YOUNG,M,1,231,1,0,0,0,0
NF,SCO,NF5,Cub1,0.25,YOUNG,F,7,231,3,1,3,0,0
NF,SCO,NF5,Cub2,0.25,YOUNG,M,6,231,2,2,2,0,0
